halqa_id,name,political_party,votes_2013,,
PP-11,RAJA IMRAN HAMEED,Independent,50,,
PP-11,RAJA RASHID HAFEEZ,Pakistan Tehreek-e-Insaf,44430,,
PP-11,RIFFAT AKHTAR,Majlis-e-Wahdat-e-Muslimeen Pakistan,416,,
PP-11,SYED HASSAN KALEEM GILLANI,Jamaat-e-Islami Pakistan,1565,,
PP-11,TARIQ SARDAR KIYANI,Independent,104,,
PP-11,ZIA ULLAH SHAH,Pakistan Muslim League (N),43267,,
PP-12,Azhar Bin Kareem,Independent,47,,
PP-12,Babar Sultan Jadoon,Pakistan Peoples Party Parliamentarians,7355,,
PP-12,Dr Baber Zahir Uddin,Jannat Pakistan Party,28,,
PP-12,Hafiz Muhammad Mazhar Ullah Awan,Pakistan Sunni Tehreek,43,,
PP-12,Ijaz Khan,Pakistan Tehreek-e-Insaf,35836,,
PP-12,Malik Javad Iqbal,Tehreek-e-Hussainia Pakistan,53,,
PP-12,Muhammad Afzal Khan,Independent,118,,
PP-12,Muhammad Akmal Mirza,Independent,27,,
PP-12,Muhammad Hanif Chaudhry,Jamaat-e-Islami Pakistan,2411,,
PP-12,Muhammad Ilyas,Muttahida Qaumi Movement Pakistan,89,,
PP-12,Muhammad Kamran Mughal,Independent,18,,
PP-12,Muzhar Hussain,Independent,142,,
PP-12,Nasif Mehmood,Independent,162,,
PP-12,Sardar Muhammad Naseem Khan,Pakistan Muslim League (N),34034,,
PP-13,Chaudhary Habib ur Rehman Afzal,Independent,99,,
PP-13,Chaudhary Hamad Afzal,Independent,6,,
PP-13,Chaudhary Rasab Khan,Independent,10,,
PP-13,Haji Malik Pervez Akhter Awan,Independent,2791,,
PP-13,Haji Sher Zaman,Independent,56,,
PP-13,Malik Ghulam Raza,Pakistan Muslim League (N),30346,,
PP-13,Muhammad Arif Abbasi,Pakistan Tehreek-e-Insaf,33595,,
PP-13,Muhammad Kamran,Pakistan Sunni Tehreek,246,,
PP-13,Muhammad Zubair Kayani,Independent,22,,
PP-13,Mullana Muhammad Ayaz,Independent,30,,
PP-13,Nadir Ali Khan,Tehreek-e-Tahafuze Pakistan,893,,
PP-13,Raja Fayaz Khan Janjua,Independent,18,,
PP-13,Raja Shahid Mehmood Papu,Pakistan Peoples Party Parliamentarians,5913,,
PP-13,Raja Tariq Mehmood,Independent,42,,
PP-13,Sajjad Khan,Independent,75,,
PP-13,Sheikh Khizar Hayat,Muttahida Qaumi Movement Pakistan,148,,
PP-13,Syed Uzair Hamid,Jamaat-e-Islami Pakistan,2535,,
PP-14,Ali Idrees,Pak Wattan Party,51,,
PP-14,Chaudhry Ghulam Sarwar Gujjar,Independent,551,,
PP-14,Chaudhry Imtiaz Ahmed,Independent,51,,
PP-14,Chaudhry Muhammad Asghar advocate,Pakistan Tehreek-e-Insaf,32684,,
PP-14,Dabeer ahmed Khan,Jamaat-e-Islami Pakistan,4614,,
PP-14,Muhammad Ali Khan,Independent,6,,
PP-14,Naseer Mittu Bhai,Independent,27,,
PP-14,Nasrullah Khan,Independent,27,,
PP-14,Qari Kiramat Ur Rahman,Jamiat Ulama-e-Islam (F),179,,
PP-14,Raja Abdul Hanif,Pakistan Muslim League (N),36852,,
PP-14,Raja Kamran Hussain,Pakistan Peoples Party Parliamentarians,6943,,
PP-14,Raja Muhammad Shafiq,Independent,10,,
PP-14,Raja Zawar Hussain,Independent,60,,
PP-14,Sadam Shahzad,Tehreek-e-Tahafuze Pakistan,447,,
PP-14,Sajid Rehman Qureshi Advocate,Independent,49,,
PP-14,Sheikh Muhammad Ibrar,Muttahida Qaumi Movement Pakistan,147,,
PP-14,Syed Nasir Hussain Bukhari,Independent,16,,
PP-14,Tariq Hassan abbasi Almaroof Tariq Shah,Pakistan Sunni Tehreek,573,,
PP-14,Zahid Hussain Qureshi,Independent,174,,
PP-14,Zahoor Ahmed Abbasi,Independent,42,,
PP-15,Arshid Mehmood Qadri,Pakistan Sunni Tehreek,938,,
PP-15,Dilshad Hussain Shah,Independent,270,,
PP-15,Ejaz Hussain Bukhari,Pakistan Tehreek-e-Insaf,28437,,
PP-15,Eng Jameel Ahmad Malik,Communist Party of Pakistan,29,,
PP-15,Haji Muhammad Bakhtiar Ahmed,Tehreek-e-Tahafuze Pakistan,1593,,
PP-15,Malik Hameed Akbar,Independent,17382,,
PP-15,Malik Muhammad Azam Khan,Muttahida Qaumi Movement Pakistan,648,,
PP-15,Muhammad Arif Bhatti,Jamiat Ulama-e-Pakistan (Noorani),566,,
PP-15,Muhammad Bahadar Khan Alias Jhala Khan,Independent,34,,
PP-15,Muhammad Daud,Independent,504,,
PP-15,Muhammad Iqbal,Jamaat-e-Islami Pakistan,4506,,
PP-15,Muhammad Suleman Sarwar,Pakistan Muslim League (N),24055,,
PP-15,Riaz Ali Abbas,Independent,239,,
PP-15,Sajid Mehmood,Independent,18930,,
PP-15,Shahan Malik,Pakistan Peoples Party Parliamentarians,2734,,
PP-15,Shahid Mehmood Sheikh,Independent,7722,,
PP-15,Shaukat Zaman Yousafsai,Awami National Party,160,,
PP-15,Syed Asad Abbas,Independent,148,,
PP-15,Syed Shah Shafique Pervaiz,Awami Muslim League Pakistan,527,,
PP-16,Col R Shuja Khanzada,Pakistan Muslim League (N),38791,,
PP-16,Dr Muhammad Naeem Awan,Pakistan Peoples Party Parliamentarians,990,,
PP-16,Hafiz Jabar Ali Khan,Jamaat-e-Islami Pakistan,1768,,
PP-16,Hafiz Muhammad Naeem,Jamiat Ulama-e-Pakistan (Noorani),203,,
PP-16,Khalid Mehmood Awan,Pakistan Sunni Tehreek,247,,
PP-16,Malik Ameer Afzal Khan,Tehreek-e-Insaniat Pakistan,66,,
PP-16,Muhammad Nouman,Independent,182,,
PP-16,Qari Attique Ur Rehman,Jamiat Ulama-e-Islam (F),5392,,
PP-16,Qari Muhammad Luqman,Independent,294,,
PP-16,Qazi Ahmed Akbar Khan,Pakistan Tehreek-e-Insaf,18549,,
PP-16,Raza khan,Independent,25931,,
PP-17,Iqbal Khan,Jamaat-e-Islami Pakistan,4688,,
PP-17,Malik Jamshaid Iltaf,Independent,39622,,
PP-17,Maulana Shahab ud Din Ahmed Qureshi,Jamiat Ulama-e-Islam (F),1251,,
PP-17,Maulana Umar Farooq Saddiqui,MUTAHIDA DEENI MAHAZ,917,,
PP-17,Mohammad Riaz Khan,Pakistan Peoples Party Parliamentarians,24282,,
PP-17,Muhammad Akbar khan,Pakistan Tehreek-e-Insaf,22747,,
PP-17,Muhammad Shawez Khan,Pakistan Muslim League (N),40897,,
PP-17,Qazi Shehzada Sultan ul Haq,Jamiat Ulama-e-Pakistan (Noorani),146,,
PP-17,Raja Khan,Independent,440,,
PP-17,Shehzada Khuram Khan alias Laki Khan of Akhori,Muttahida Qaumi Movement Pakistan,69,,
PP-17,Syed Azhar Zaman Hamdani,Independent,133,,
PP-18,Afzaal Hussain,Pakistan Peoples Party Parliamentarians,5461,,
PP-18,Farrukh Hussain,Awami Muslim League Pakistan,355,,
PP-18,Lal Muhammad Farooqi,Jamiat Ulama-e-Pakistan (Noorani),161,,
PP-18,Lutf ur Rehman,Pakistan Sunni Tehreek,1282,,
PP-18,Malik Amanat Khan,Independent,30466,,
PP-18,Malik Arshad Nawaz,Independent,72,,
PP-18,Malik Ghulam Mustafa,Muttahida Qaumi Movement Pakistan,292,,
PP-18,Malik Muhammad Anwar,Pakistan Tehreek-e-Insaf,46133,,
PP-18,Sher Ali Khan,Pakistan Muslim League (N),59126,,
PP-19,Hafiz Abdul Rehman,Pakistan Sunni Tehreek,160,,
PP-19,Liaqat Hussain Khattak,Pakistan Justice Party,106,,
PP-19,Manzer Ameer,Independent,27201,,
PP-19,Muhammad Daud Mustafai,Jamiat Ulama-e-Pakistan (Noorani),1737,,
PP-19,Niaz Ali Malik,Muttahida Qaumi Movement Pakistan,714,,
PP-19,Raziq Dad Khan,Jamaat-e-Islami Pakistan,8006,,
PP-19,Sardar Muhammad Ameer Khan,Hazara Democratic Party,6796,,
PP-19,Sardar Mumtaz Khan,Jamiat Ulama-e-Islam (F),4707,,
PP-19,Syed Abbass Muhi ud Din,Pakistan Tehreek-e-Insaf,26240,,
PP-19,Zafar Iqbal,Pakistan Muslim League (N),37745,,
PP-20,Aali Imran,Independent,121,,
